SUG_REC,TRADE_METH,BNO_Num,LAST_REC,SIDURI_Num,SYMBOL_E,Symbol,BNO_NAME_E,BNO_NAME,BRANCH_NO,BRANCH_U,SUG_BNO,MIN_UNIT,HARIG_NV,MIN_PR,MAX_PR,BASIS_PRC,BASIS_COD,STATUS_COD,EX_DATE,EX_PRC,VL_MULT,VL_COD,ZERO_COD,shlav,STATUS,TRD_STP_CD,TRD_STP_N,STP_OPN_TM,LMT_BY1,LMT_BY2,LMT_BY3,LMY_BY1_NV,LMY_BY2_NV,LMY_BY3_NV,RWR_FE,LMT_SL1,LMT_SL2,LMT_SL3,LMY_SL1_NV,LMY_SL2_NV,LMY_SL3_NV,RWR_FF,PRC,COD_PRC,SUG_PRC,LST_DF_BS,RWR_FG,LST_DL_PR,LST_DL_TM,LST_DL_VL,DAY_VL,DAY_VL_NIS,DAY_DIL_NO,RWR_FH,DAY_MAX_PR,DAY_MIN_PR,POS_OPN,POS_OPN_DF,STS_NXT_DY,UPD_DAT,UPD_TIME,FILER,TimeStamp,Ticks^M
  ,M,80604259,^@,        ,TA9X00880C,TA9X00880C,T25 C00880 NOV9,C00880-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,  17700,^@, ,20091127^@ ,   880.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,  17700,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.312,1180264596^M
  ,M,80611916,^@,        ,TA9X01010C,TA9X01010C,T25 C01010 NOV9,C01010-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,   4928,^@, ,20091127^@ ,  1010.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,   4928,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530722^@,               ,09:26:19.343,1180312015^M
  ,M,80604176,^@,        ,TA9X00960C,TA9X00960C,T25 C00960 NOV9,C00960-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,   9542,^@, ,20091127^@ ,   960.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,   9542,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.343,1180320389^M
  ,M,80604671,^@,        ,TA9X01060P,TA9X01060P,T25 P01060 NOV9,P01060-9   -25 ,   ,   ,2 ,      ,         ,       ,       ,   1894,^@, ,20091127^@ ,  1060.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,   1894,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530722^@,               ,09:26:19.343,1180329350^M
  ,M,80606650,^@,        ,TA9X00760P,TA9X00760P,T25 P00760 NOV9,P00760-9   -25 ,   ,   ,2 ,      ,         ,       ,       ,      4,^@, ,20091127^@ ,   760.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,      4,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.343,1180339962^M
  ,M,80610769,^@,        ,TA9X01200C,TA9X01200C,T25 C01200 NOV9,C01200-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,     12,^@, ,20091127^@ ,  1200.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,     12,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530724^@,               ,09:26:19.343,1180353351^M
  ,M,80604622,^@,        ,TA9X00810P,TA9X00810P,T25 P00810 NOV9,P00810-9   -25 ,   ,   ,2 ,      ,         ,       ,       ,     13,^@, ,20091127^@ ,   810.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,     13,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.359,1180370442^M
  ,M,80604309,^@,        ,TA9X00830C,TA9X00830C,T25 C00830 NOV9,C00830-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,  17000,^@, ,20091127^@ ,   830.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,  17000,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.359,1180380991^M
  ,M,80604499,^@,        ,TA9X00940P,TA9X00940P,T25 P00940 NOV9,P00940-9   -25 ,   ,   ,2 ,      ,         ,       ,       ,     64,^@, ,20091127^@ ,   940.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,     64,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.359,1180392013^M
  ,M,80611940,^@,        ,TA9X01090C,TA9X01090C,T25 C01090 NOV9,C01090-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,    365,^@, ,20091127^@ ,  1090.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,    365,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530722^@,               ,09:26:19.406,1180534231^M
  ,M,80604168,^@,        ,TA9X00970C,TA9X00970C,T25 C00970 NOV9,C00970-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,   8511,^@, ,20091127^@ ,   970.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,   8511,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530721^@,               ,09:26:19.406,1180544879^M
  ,M,80604424,^@,        ,TA9X01160C,TA9X01160C,T25 C01160 NOV9,C01160-9   -25 ,   ,   ,1 ,      ,         ,       ,       ,     18,^@, ,20091127^@ ,  1160.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,     18,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530724^@,               ,09:26:19.515,1180939536^M
  ,M,80604689,^@,        ,TA9X01080P,TA9X01080P,T25 P01080 NOV9,P01080-9   -25 ,   ,   ,2 ,      ,         ,       ,       ,   3089,^@, ,20091127^@ ,  1080.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , ,   3089,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530722^@,               ,09:26:19.515,1180948050^M
  ,M,80604085,^@,        ,TA9X00001C,TA9X00001C,T25 C00001 NOV9,C00001-9   -25 ,   ,   ,1 ,      ,         ,       ,       , 105057,^@, ,20091127^@ ,     1.00,^@      , , ,^@,^@,00,                         ,00000,      0,      0,      0,        0,        0,        0,^@,      0,      0,      0,        0,        0,        0,^@,       , , ,        , , 105057,00000,        0,        0,^@       0,     0,^@,      0,      0,^@      ,       , ,        ,7530719^@,               ,09:26:19.515,1180957467^M
